Time,Frame,New_detections,Current_detections,Total_detections
182.1771547794342,106,0,20,26.0
185.1977858543396,107,0,17,26.0
185.85189986228943,108,1,21,27.0
186.50217199325562,109,0,21,27.0
189.46394157409668,110,0,21,27.0
192.4909372329712,111,0,18,27.0
193.13262271881104,112,0,21,27.0
196.13266134262085,113,0,21,27.0
196.84827637672424,114,0,21,27.0
197.5264186859131,115,0,21,27.0
198.21999073028564,116,0,21,27.0
198.9160978794098,117,0,21,27.0
201.95695638656616,118,0,21,27.0
202.5975387096405,119,1,22,28.0
203.24198508262634,120,0,22,28.0
206.22080278396606,121,0,22,28.0
209.26826739311218,122,0,19,28.0
209.90974116325378,123,1,23,29.0
212.91801571846008,124,0,23,29.0
213.64206743240356,125,0,23,29.0
216.6154203414917,126,0,23,29.0
217.37102055549622,127,0,23,29.0
218.10174417495728,128,0,23,29.0
218.75530695915222,129,0,23,29.0
221.97501182556152,130,0,23,29.0
222.73604369163513,131,0,23,29.0
225.91286849975586,132,0,23,29.0
226.7156322002411,133,0,23,29.0
227.60424733161926,134,0,23,29.0
230.66222190856934,135,0,23,29.0
233.70009469985962,136,0,17,29.0
234.40821504592896,137,0,23,29.0
237.59432721138,138,0,23,29.0
238.40540957450867,139,0,23,29.0
239.29679226875305,140,0,23,29.0
242.27563309669495,141,0,23,29.0
243.10527181625366,142,0,23,29.0
243.9038646221161,143,0,23,29.0
246.97771620750427,144,0,23,29.0
250.0729398727417,145,1,19,30.0
253.10076260566711,146,0,19,30.0
256.0340609550476,147,0,18,30.0
256.79868936538696,148,0,24,30.0
257.6238601207733,149,0,24,30.0
260.8415439128876,150,0,24,30.0
263.9614996910095,151,0,18,30.0
267.03545904159546,152,0,18,30.0
267.8515775203705,153,0,24,30.0
270.9360122680664,154,0,24,30.0
273.9704899787903,155,0,17,30.0
274.8321416378021,156,0,24,30.0
275.65421986579895,157,0,24,30.0
276.3868074417114,158,0,24,30.0
279.6397364139557,159,0,24,30.0
280.4910433292389,160,1,25,31.0
283.69951033592224,161,0,25,31.0
286.9510495662689,162,0,18,31.0
290.10279655456543,163,0,18,31.0
293.30548119544983,164,0,18,31.0
296.3827464580536,165,0,18,31.0
297.12293100357056,166,0,25,31.0
300.33422470092773,167,0,25,31.0
301.27150654792786,168,0,25,31.0
304.54540491104126,169,0,25,31.0
305.3983657360077,170,0,25,31.0
306.2679717540741,171,0,25,31.0
309.51979994773865,172,0,25,31.0
312.7884452342987,173,0,19,31.0
315.8680536746979,174,0,19,31.0
319.02490186691284,175,0,19,31.0
319.99008226394653,176,0,25,31.0
